item,unit
CD34 (HPC-A autoloog),Geen
CD34 v��r LF (bloed),Geen
CD34% (overig),Geen
CD34/KG (HPC-A allogeen),10^6/kg
CD34/KG (HPC-A autoloog),10^6/kg
CD34/KG (overig),10^6/kg
CD36 (beenmerg),Geen
CD36 (bloed),Geen
CD38 (beenmerg),Geen
CD38 (bloed),Geen
CD4 (beenmerg),Geen
CD4 (bloed),Geen
CD4/CD8 (beenmerg),Geen
CD4/CD8 (bloed),Geen
CD42b (beenmerg),Geen
CD42b (bloed),Geen
CD43 (beenmerg),None
CD43 (bloed),None
CD45 (beenmerg),Geen
CD45 (bloed),Geen
CD5 (beenmerg),Geen
CD5 (bloed),Geen
CD52 (beenmerg),Geen
CD52 (bloed),Geen
CD56 (beenmerg),Geen
CD56 (bloed),Geen
CD57 (bloed),Geen
CD59 (bloed),%neg
CD61 (beenmerg),Geen
CD61 (bloed),Geen
CD64 (beenmerg),Geen
CD64 (bloed),Geen
CD65 (beenmerg),Geen
CD65 (bloed),Geen
CD66b PNH (bloed),%neg
CD7 (beenmerg),Geen
CD7 (bloed),Geen
CD71 (beenmerg),Geen
CD71 (bloed),Geen
CD79b (beenmerg),Geen
CD79b (bloed),Geen
CD8 (beenmerg),Geen
CD8 (bloed),Geen
CD81 (beenmerg),None
CD81 (bloed),None
CD90 (beenmerg),Geen
CD90 (bloed),Geen
CDT (bloed),Geen
Cdyn,ml/cmH2O
CEA (bloed),µg/l
CEF-KAOL.T (bloed),sec
Cephalinetyd,sec
Cerebrale PaO2,mmHg
Cerebrale temp.,�C
Ceruloplasmine (bloed),g/l
CH50-titer (bloed),Geen
CHE (bloed),E/l
CHLOOR       (overig),�mol/24uur
Chloor  (verz. urine),mmol/24uur
Chloor (bloed),mmol/l
Chloor (overig),mmol/l
Chloor (urine),mmol/l
CHLOOR (verz. urine),mmol/l
Chloor Astrup,mmol/l
Chloor dialysaat (dialysaat),mmol/l
Chloor in Urine,mol/l
Chloor,mmol/l
CHOLESTER. (overig),mmol/l
Cholesterol (bloed),mmol/l
Cholesterol,mmol/l
Chromogranine A (bloed),µg/l
Ciclosporine (bloed),µg/l
Ciclosporine AUC [0-12] (bloed),�g.uur/l
Cisternale drain Uit,ml
Citalopram (bloed),µg/l
Citalopram+Citalopram desmethyl (bloed),µg/l
Citraat (bloed),mmol/l
Citraat (urine),mmol/l
CK (bloed),E/l
CK,IE/l
CK-MB,IE/l
Cl (onv.ISE) (bloed),mmol/l
CLIP (beenmerg),Geen
CLIP (bloed),Geen
Clobazam (bloed),µg/l
Clobazam+Clobazam desmethyl (bloed),µg/l
Clomipramine (bloed),µg/l
Clomipramine+Clomipramine desmethyl (bloed),µg/l
Clonazepam (bloed),µg/l
Clozapine (bloed),µg/l
CMV IgG aviditeit (bloed),Geen
CO-Hb (bloed),Geen
CO2 min prod (2),ml/min
CO2 min prod,ml/min
CO2 min prodX,None
CO2 tidal productie (2),ml
CO2 tidal productie,ml
Colloid osm. druk (bloed),mmHg
Colostoma,ml
Compliance,None
Corticosteroid Binding Globulin (Cbg) (bloed),mg/l
