item,unit
Vrij-T3 (bloed),pmol/l
Vrij-T4 (bloed),pmol/l
VRY-KAPPA (verz. urine),mg/l
VRY-LAMBDA (verz. urine),mg/l
vryK/Lratio  (urine),Geen
Vt (Bipap Vision),ml
VTe(2),l
VTe,l
vWF-activiteit (bloed),Geen
vWF-antigeen (bloed),Geen
Weerstand,cmH2O
WOBv,J/l
Wonddrain1 Productie,ml
Wonddrain1 Stand,ml
Wonddrain2 Productie,ml
Wonddrain2 Stand,ml
Wonddrain3 Productie,ml
Wonddrain3 Stand,ml
Wonddrain4 Productie,ml
Wonddrain4 Stand,ml
Wonddrain5 Productie,ml
Wonddrain5 Stand,ml
Wonddrain6 Productie,ml
Wonddrain6 Stand,ml
Wondlekkage,ml
Y-GT (bloed),E/l
Y-GT (divers)-LabZis2,E/l
YZER verz% (overig),Geen
Zephyros  Freq,/min
Zephyros FiO2,Geen
Zephyros Frequentie,/min
Zephyros Mve,l
Zephyros O2i,Geen
Zephyros P-psv,+PEEP
Zephyros P.Insp,+PEEP
Zephyros PEEP,cmH2O
Zephyros Pmin,cmH2O
Zephyros Ppeak,cmH2O
Zephyros Vte,ml
Zink (bloed),�mol/l
Zink,�mol
Zuclopentixol (bloed),µg/l
Zuurstof toediening (bloed),l/min
Zuurstof toediening,Geen
