icd9,icd10,description
18,3E0M70M,"Introduction of Monoclonal Antibody into Peritoneal Cavity, Via Natural or Artificial Opening"
18,3E0N30M,"Introduction of Monoclonal Antibody into Male Reproductive, Percutaneous Approach"
18,3E0N70M,"Introduction of Monoclonal Antibody into Male Reproductive, Via Natural or Artificial Opening"
18,3E0N80M,"Introduction of Monoclonal Antibody into Male Reproductive, Via Natural or Artificial Opening Endoscopic"
18,3E0P30M,"Introduction of Monoclonal Antibody into Female Reproductive, Percutaneous Approach"
18,3E0P70M,"Introduction of Monoclonal Antibody into Female Reproductive, Via Natural or Artificial Opening"
18,3E0P80M,"Introduction of Monoclonal Antibody into Female Reproductive, Via Natural or Artificial Opening Endoscopic"
18,3E0Q00M,"Introduction of Monoclonal Antibody into Cranial Cavity and Brain, Open Approach"
18,3E0Q30M,"Introduction of Monoclonal Antibody into Cranial Cavity and Brain, Percutaneous Approach"
18,3E0Q70M,"g Introduction of Monoclonal Antibody into Cranial Cavity and Brain, Via Natural or Artificial Opening"
18,3E0R30M,"Introduction of Monoclonal Antibody into Spinal Canal, Percutaneous Approach"
18,3E0S30M,"Introduction of Monoclonal Antibody into Epidural Space, Percutaneous Approach"
18,3E0U30M,"Introduction of Monoclonal Antibody into Joints, Percutaneous Approach"
18,3E0V30M,"h Introduction of Monoclonal Antibody into Bones, Percutaneous Approach"
18,3E0W30M,"Introduction of Monoclonal Antibody into Lymphatics, Percutaneous Approach"
18,3E0Y30M,"Introduction of Monoclonal Antibody into Pericardial Cavity, Percutaneous Approach"
18,3E0Y70M,"Introduction of Monoclonal Antibody into Pericardial Cavity, Via Natural or Artificial Opening"
19,3E030GN,"Introduction of Blood Brain Barrier Disruption Substance into Peripheral Vein, Open Approach"
19,3E033GN,"Introduction of Blood Brain Barrier Disruption Substance into Peripheral Vein, Percutaneous Approach"
19,3E040GN,"h Introduction of Blood Brain Barrier Disruption Substance into Central Vein, Open Approach"
19,3E043GN,"h Introduction of Blood Brain Barrier Disruption Substance into Central Vein, Percutaneous Approach"
19,3E050GN,"Introduction of Blood Brain Barrier Disruption Substance into Peripheral Artery, Open Approach"
19,3E053GN,"Introduction of Blood Brain Barrier Disruption Substance into Peripheral Artery, Percutaneous Approach"
19,3E060GN,"Introduction of Blood Brain Barrier Disruption Substance into Central Artery, Open Approach"
19,3E063GN,"Introduction of Blood Brain Barrier Disruption Substance into Central Artery, Percutaneous Approach"
21,B343ZZ3,"Ultrasonography of Right Common Carotid Artery, Intravascular"
21,B344ZZ3,"r Ultrasonography of Left Common Carotid Artery, Intravascular"
21,B345ZZ3,"Ultrasonography of Bilateral Common Carotid Arteries, Intravascular"
21,B346ZZ3,"Ultrasonography of Right Internal Carotid Artery, Intravascular"
21,B347ZZ3,"Ultrasonography of Left Internal Carotid Artery, Intravascular"
21,B348ZZ3,"Ultrasonography of Bilateral Internal Carotid Arteries, Intravascular"
22,B24BZZ3,"Ultrasonography of Heart with Aorta, Intravascular"
22,B24CZZ3,"Ultrasonography of Pericardium, Intravascular"
22,B340ZZ3,"Ultrasonography of Thoracic Aorta, Intravascular"
22,B341ZZ3,"Ultrasonography of Right Brachiocephalic-Subclavian Artery, Intravascular"
22,B342ZZ3,"Ultrasonography of Left Subclavian Artery, Intravascular"
22,B34SZZ3,"Ultrasonography of Right Pulmonary Artery, Intravascular"
22,B34TZZ3,"Ultrasonography of Left Pulmonary Artery, Intravascular"
22,B546ZZ3,"Ultrasonography of Right Subclavian Vein, Intravascular"
22,B547ZZ3,"Ultrasonography of Left Subclavian Vein, Intravascular"
22,B548ZZ3,"Ultrasonography of Superior Vena Cava, Intravascular"
22,B549ZZ3,"Ultrasonography of Inferior Vena Cava, Intravascular"
23,B34HZZ3,"c Ultrasonography of Right Upper Extremity Arteries, Intravascular"
23,B34JZZ3,"Ultrasonography of Left Upper Extremity Arteries, Intravascular"
23,B34KZZ3,"Ultrasonography of Bilateral Upper Extremity Arteries, Intravascular"
23,B44FZZ3,"c Ultrasonography of Right Lower Extremity Arteries, Intravascular"
23,B44GZZ3,"Ultrasonography of Left Lower Extremity Arteries, Intravascular"
23,B44HZZ3,"Ultrasonography of Bilateral Lower Extremity Arteries, Intravascular"
23,B44LZZ3,"Ultrasonography of Femoral Artery, Intravascular"
23,B54BZZ3,"Ultrasonography of Right Lower Extremity Veins, Intravascular"
23,B54CZZ3,"r Ultrasonography of Left Lower Extremity Veins, Intravascular"
23,B54DZZ3,"Ultrasonography of Bilateral Lower Extremity Veins, Intravascular"
23,B54MZZ3,"Ultrasonography of Right Upper Extremity Veins, Intravascular"
23,B54NZZ3,"r Ultrasonography of Left Upper Extremity Veins, Intravascular"
23,B54PZZ3,"Ultrasonography of Bilateral Upper Extremity Veins, Intravascular"
24,B240ZZ3,"Ultrasonography of Single Coronary Artery, Intravascular"
24,B241ZZ3,"r Ultrasonography of Multiple Coronary Arteries, Intravascular"
24,B244ZZ3,"Ultrasonography of Right Heart, Intravascular"
24,B245ZZ3,"Ultrasonography of Left Heart, Intravascular"
24,B246ZZ3,"Ultrasonography of Right and Left Heart, Intravascular"
24,B24DZZ3,"Ultrasonography of Pediatric Heart, Intravascular"
25,B446ZZ3,"Ultrasonography of Right Renal Artery, Intravascular"
25,B447ZZ3,"Ultrasonography of Left Renal Artery, Intravascular"
25,B448ZZ3,"Ultrasonography of Bilateral Renal Arteries, Intravascular"
25,B54JZZ3,"Ultrasonography of Right Renal Vein, Intravascular"
25,B54KZZ3,"Ultrasonography of Left Renal Vein, Intravascular"
25,B54LZZ3,"Ultrasonography of Bilateral Renal Veins, Intravascular"
28,B34RZZ3,"Ultrasonography of Intracranial Arteries, Intravascular"
28,B34VZZ3,"Ultrasonography of Ophthalmic Arteries, Intravascular"
28,B440ZZ3,"Ultrasonography of Abdominal Aorta, Intravascular"
28,B444ZZ3,"r Ultrasonography of Superior Mesenteric Artery, Intravascular"
28,B445ZZ3,"r Ultrasonography of Inferior Mesenteric Artery, Intravascular"
