ReferenceValue
LEVOthyroxin
LORazepam
Labetalol
Lacosamid
Lactobacillus casei
Lactobacillus gasseri
Lamivudin+Zidovudin
Lamotrigin
Latanoprost
Lavasurge Lsg.
Leflunomid
Lenalidomid
Lercanidipin
LevETIRAcetam
Levocetirizin
Levodopa +Benserazid
Levodopa+Benserazid
Levodopa/Carbidopa/Entacapon
Levofloxacin
Levomepromazin
Levosimendan
Lidocain 1%
Lidocain 2%
Lidocain 2% /Epinephrin
Lidocain hydrochlorid
Linagliptin
Linezolid
Liposomales Amphotericin B
Liraglutid
Lisinopril
Lisinopril HCT
Lithium carbonat
Lormetazepam
Losartan
Losartan+HCT
Macrogol
Macrogol 3350
Magnesium
Magnesiumgluconicum
Mefenamins
Melatonin
Meloxicam
Melperon hydrochlorid
Memantin
Mepivacain 1%
"Mepivacain 1,5%"
Mepivacain 2%
Mepivacain 4%
Meropenem
Mesalazin
Mesna
Metamizol
Metamizol gtt
Metformin
Metformin +Vildagliptin
Metformin hydrochlorid
Metformin+Sitagliptin
Methadon
Methohexital
Methotrexat
MethylPREDNIsolon
Methylenblau
Methylergometrin
Methylnaltrexon
Methylphenidat hydrochlorid
Metildigoxin
Metoclopramid
Metoprolol
Metronidazol
Micafungin
Miconazol
Midazolam
Milnacipran hydrochlorid
Milrinon
Minoxidil
Mirtazepin
Mivacurim
Moclobemid
Morphin
Morphinsulfat
Moxifloxacin
Moxonidin
Mupirocin
Mycophenolat
Mycophenolat mofetil
Mycostatin Zinkoxid Paste
N-Acetylcystein
NIFEdipin
"NaCl 0,45%"
"NaCl 0,9% Augentropfen"
Nalbuphin
Naloxon
Naltrexon
Naproxen Saft
Naproxen TBL
Natrium hydrogencarbonat
Natrium perchlorat
Natriumchlorid 5%
Natriumchlorid Pulverkps
Natriumchlorid Sachet
Natriumchlorid10%
Natriumglyzerophosphat
Natriumhydrogencarbonat
Natriumnitroprussid
Natriumpicosulfat
Natriumpolystyrensulfonat
Natriumthiosulfat
Natriumvalproat
Nebivolol
Neostigmin
NiMODipin
Nicht gelistete Inhalation
Nicht gelistete Kurzinfusion
Nicht gelistete Salbe/Creme
Nicht gelistete Tropfen
Nicht gelisteter Mischbeutelzusatz
Nicht gelisteter Perfusor
Nicht gelistetes Antiinfektivum
Nicht gelistetes Bolusmedikament
Nicht gelistetes Gerinnungsmedikament
Nicht gelistetes Gerinnungsmedikament IU
Nicht gelistetes anderes Medikament
Nicht gelistetes orales Medikament
Nicht gelistetes sc Medikament IU
Nicht gelistetes sc Medikament mg
Nicorandil
Nicotin
Nicotinamid+Thiamin+Riboflavin
Nitrendipin
Nitrendipin +Enalapril
Nitroglycerin
Norepinephrin
ONDANsetron
Octenidin
Oculotect Fluid Au-Tr
Ofloxacin
Olanzapin
Olmesartan
Olmesartan+Amlodipin
Omnibiotic AAD
On
Ornithinaspartat
Oseltamivir
Oxazepam
Oxcarbazepin
Oxycodon
Oxycodon ret
Oxymetazolin hydrochlorid
Oxytocin
PHYSostigmin
PIRItramid
Pankreatin
Panthenol
Pantoprazol
Paracetamol
Paromomycin
Paroxetinhydrochlorid-Hemihydrat
Passionsblumenkraut
Pegfilgrastim
Penicillin G
Pentoxifyllin
Perampanel
Pethidin
Phenprocoumon
Phenylephrin
Phenytoin
Phytmenadion
Piperacillin/Tazobactam
Piracetam
Pirfenidon
Pitressin
Posaconazol
Povidon-iodid
Pramipexol
Prasugrel
Pravastatin
PredniSOLON
Pregabalin
Prilocain 1%
Prilocain 2%
Primidon
Promethazin
Propafenon
Propofol 1%
Propofol 2%
Propranolol
Protaminsulfat
Prothipendyl
Prothipendyl HCl
Protifar
Pyrazinamid
Pyridostigmin bromid
Quetiapin
ROCuronium
ROPIvacain
ROPIvacain 0.1%
ROPIvacain 0.15%
ROPIvacain 0.2%
ROPIvacain 0.375%
ROPIvacain 0.5%
ROPIvacain 0.75%
ROPIvacain 1%
Ramipril
Ramipril/HCT
Ranitidin
Rasagilin
Rasburicase
Remifentanil
Retinol
Retinol palmitat
Retinol und Dexpantenol
Rifampicin
Rifaximin
Rilmenidin
Rilmenidin dihydrogenphosphat
Risperidon
Rivaroxaban
Rivastigmin
Roflumilast
Ropinirol
Rosuvastatin
Rotigotin
S-Ketamin
SUFentanil
Salbutamol
Salmeterol
Salmeterol/Fluticason
Schmerz
Scopolamin
Selen
Sertralin
Sevelamer
Sevelamercarbonat
Sevofluran (Anaconda)
Sildenafil
Simeticon
Simvastatin
Sitagliptin phosphat 1 H2O
Somatostatin
Sotalol
Spironolacton
Succinylcholin
Sucralfat
Sugammadex
Sulfametoxazol+Trimethoprim
Sulproston
Tacrolimus
Tamsulosin
Tamsulosin retard
Tantum verde
Tantum verde Lutschtabletten
Teicoplanin
Telmisartan
Tenecteplase
Tenofovir disoproxil+Emtricitabin
Terbinafin
Terbutalin
Terlipressin
Tetanus Antitoxin
Tetanus Toxoid
Tetracosactid
Tetrazepam
Thalidomide Celgene
Theophyllin
Thiamazol
Thiamin
Thiamin+Pyridoxin+Cyanocobalamin
Thiaminhydrochlorid
Thiethylperazin
Thiopentalnatrium
Tiaprid
Ticagrelor
Tigecyclin
Tiotropium
"Tiotropium Lsg 2,5"
"Tiotropium+Olodaterol 2,5/2,5"
Tirofiban
Tizanidin
Tolterodin-L-tartrat
Topiramat
Torasemid
Tranexams
Trazodon ret
Triamteren
Triazolam
Trimethoprim/Sulfametoxazol
Trometamol
Trospium chlorid
Urapidil
Urokinase
Ursodeoxychols
Valaciclovir
Valganciclovir
Valproins
Valsartan
Valsartan+Amlodipin
Valsartan+HCT
Vancomycin
Vasopressin
Venlafaxin
Verapamil
Vildagliptin
Vitamin C
Vitamin D3
Voriconazol
Xipamid
Zinkoxid-Harnstoff
Ziprasidon
Zolpidem
Zolpidem tartrat 2
Zuclopenthixol decanoat
Zuclopenthixol dihydrochlorid
ZzCa-Gluconicum
ZzCalciumchlorid
ZzColistin
ZzGlyceroltrinitrat
ZzIpratroprium und Salbutamol
ZzIpratropriumbromid
ZzIsofluran
ZzLactulose
ZzMagnesium
ZzMagnesiumsulfat
ZzNatrium- und Megluminanmidotrizoat
"ZzNatriumchlorid 0,9%"
ZzNatriumpicosulfat
ZzNystatin
ZzRamipril HCT
ZzRamipril HCT forte
ZzRamipril/HCT
ZzVitamine
ZzzBromazepam
ZzzVitamine
ocTREOtid
traMADol
