ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
50940,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,Hepatitis B Surface Antibody,Blood,Chemistry,5193-8,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,False,22322-2,Hepatitis B virus surface Ab [Presence] in Serum
50943,Hepatitis C virus Ab [Presence] in Serum,Hepatitis C Virus Antibody,Blood,Chemistry,16128-1,Hepatitis C virus Ab [Presence] in Serum,False,13955-0,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay
50948,Immunofixation for Serum or Plasma Narrative,Immunofixation,Blood,Chemistry,49275-1,Immunofixation for Serum or Plasma Narrative,False,25700-6,Immunofixation for Serum or Plasma
51086,Immunofixation for Urine Narrative,"Immunofixation, Urine",Urine,Chemistry,49276-9,Immunofixation for Urine Narrative,False,13440-3,Immunofixation for Urine
50998,Iron binding capacity [Mass/volume] in Serum or Plasma,Transferrin,Blood,Chemistry,2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,False,3034-6,Transferrin [Mass/volume] in Serum or Plasma
51023,Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid,"LD, Joint Fluid",Joint Fluid,Chemistry,2533-8,Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid,False,,Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid
51486,Leukocyte esterase [Presence] in Urine by Test strip,Leukocytes,Urine,Hematology,5799-2,Leukocyte esterase [Presence] in Urine by Test strip,False,20455-2,Leukocytes [Presence] in Urine sediment by Light microscopy
51300,Leukocytes [#/volume] in Blood,WBC Count,Blood,Hematology,26464-8,Leukocytes [#/volume] in Blood,False,6690-2,Leukocytes [#/volume] in Blood by Automated count
51301,Leukocytes [#/volume] in Blood by Manual count,White Blood Cells,Blood,Hematology,804-5,Leukocytes [#/volume] in Blood by Manual count,False,6690-2,Leukocytes [#/volume] in Blood by Automated count
51259,Leukocytes other [#/volume] in Blood by Manual count,Other Cells,Blood,Hematology,729-4,Leukocytes other [#/volume] in Blood by Manual count,False,26471-3,Leukocytes other/100 leukocytes in Blood
50957,Lithium [Mass/volume] in Serum or Plasma,Lithium,Blood,Chemistry,3719-2,Lithium [Mass/volume] in Serum or Plasma,False,14334-7,Lithium [Moles/volume] in Serum or Plasma
50958,Lutropin [Mass/volume] in Serum or Plasma --baseline,Luteinizing Hormone,Blood,Chemistry,1599-0,Lutropin [Mass/volume] in Serum or Plasma --baseline,False,10501-5,Lutropin [Units/volume] in Serum or Plasma
51133,Lymphocytes [#/volume] in Blood,Absolute Lymphocyte Count,Blood,Hematology,26474-7,Lymphocytes [#/volume] in Blood,False,731-0,Lymphocytes [#/volume] in Blood by Automated count
51244,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes,Blood,Hematology,731-0,Lymphocytes [#/volume] in Blood by Automated count,False,736-9,Lymphocytes/100 leukocytes in Blood by Automated count
51245,Lymphocytes/100 leukocytes in Blood,"Lymphocytes, Percent",Blood,Hematology,26478-8,Lymphocytes/100 leukocytes in Blood,False,736-9,Lymphocytes/100 leukocytes in Blood by Automated count
51246,Macrocytes [Presence] in Blood by Light microscopy,Macrocytes,Blood,Hematology,738-5,Macrocytes [Presence] in Blood by Light microscopy,False,30424-6,Macrocytes [Presence] in Blood
51428,Macrophages/100 leukocytes in Body fluid by Manual count,Macrophage,Other Body Fluid,Hematology,12230-9,Macrophages/100 leukocytes in Body fluid by Manual count,False,30427-9,Macrophages/100 leukocytes in Body fluid
50960,Magnesium [Moles/volume] in Serum or Plasma,Magnesium,Blood,Chemistry,2601-3,Magnesium [Moles/volume] in Serum or Plasma,False,19123-9,Magnesium [Mass/volume] in Serum or Plasma
51088,Magnesium [Moles/volume] in Urine,"Magnesium, Urine",Urine,Chemistry,2598-1,Magnesium [Moles/volume] in Urine,False,19124-7,Magnesium [Mass/volume] in Urine
51252,Microcytes [Presence] in Blood by Light microscopy,Microcytes,Blood,Hematology,741-9,Microcytes [Presence] in Blood by Light microscopy,False,30434-5,Microcytes [Presence] in Blood
