,ITEMID,VALUEUOM,ROW_ID,LABEL,FLUID,CATEGORY,LOINC_CODE
143,51044,mg/dL,244,Triglycer,Other Body Fluid,Chemistry,12228-3
144,51046,g/dL,246,"Albumin, Pleural",Pleural,Chemistry,1748-3
145,51047,IU/L,247,"Amylase, Pleural",Pleural,Chemistry,1796-2
146,51049,mg/dL,249,"Bilirubin, Total, Pleural",Pleural,Chemistry,14421-2
147,51052,mg/dL,252,"Creatinine, Pleural",Pleural,Chemistry,14399-0
148,51053,mg/dL,253,"Glucose, Pleural",Pleural,Chemistry,2346-5
149,51054,IU/L,254,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry,2530-4
150,51059,g/dL,259,"Total Protein, Pleural",Pleural,Chemistry,2882-9
151,51060,mg/dL,260,"Triglycerides, Pleural",Pleural,Chemistry,9619-8
152,51069,mg/dL,269,"Albumin, Urine",Urine,Chemistry,1754-1
153,51070,mg/g,270,"Albumin/Creatinine, Urine",Urine,Chemistry,14958-3
154,51072,U/L,272,"Amylase, Urine",Urine,Chemistry,1799-6
155,51073,Ratio,273,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry,34235-2
156,51076,mEq/L,276,"Bicarbonate, Urine",Urine,Chemistry,1964-6
157,51078,mEq/L,278,"Chloride, Urine",Urine,Chemistry,2078-4
158,51082,mg/dL,282,"Creatinine, Urine",Urine,Chemistry,2161-8
159,51093,mOsm/kg,293,"Osmolality, Urine",Urine,Chemistry,2695-5
160,51095,mg/dL,295,"Phosphate, Urine",Urine,Chemistry,2778-9
161,51096,+/-,296,Porphobilinogen Screen,Urine,Chemistry,2809-2
162,51097,mEq/L,297,"Potassium, Urine",Urine,Chemistry,2828-2
163,51098,+/-,298,"Prot. Electrophoresis, Urine",Urine,Chemistry,13438-7
164,51099,Ratio,299,Protein/Creatinine Ratio,Urine,Chemistry,2890-2
165,51100,mEq/L,300,"Sodium, Urine",Urine,Chemistry,2955-3
166,51102,mg/dL,302,"Total Protein, Urine",Urine,Chemistry,2887-8
167,51104,mg/dL,304,"Urea Nitrogen, Urine",Urine,Chemistry,3095-7
168,51105,mg/dL,305,"Uric Acid, Urine",Urine,Chemistry,3086-6
169,51108,mL,308,Urine Volume,Urine,Chemistry,28009-9
170,51114,%,314,Eosinophils,Ascites,Hematology,30380-0
171,51116,%,316,Lymphocytes,Ascites,Hematology,26482-0
172,51117,%,317,Macrophage,Ascites,Hematology,40517-5
173,51118,%,318,Mesothelial Cell,Ascites,Hematology,30432-9
174,51120,%,320,Monocytes,Ascites,Hematology,26488-7
175,51122,%,322,Nucleated RBC,Ascites,Hematology,
176,51124,%,324,Plasma,Ascites,Hematology,40518-3
177,51125,%,325,Polys,Ascites,Hematology,26520-7
178,51127,#/uL,327,"RBC, Ascites",Ascites,Hematology,26457-2
179,51128,#/uL,328,"WBC, Ascites",Ascites,Hematology,26468-9
180,51130,#/uL,330,Absolute CD3 Count,Blood,Hematology,8124-0
181,51131,#/uL,331,Absolute CD4 Count,Blood,Hematology,8128-1
182,51132,#/uL,332,Absolute CD8 Count,Blood,Hematology,8138-0
183,51133,#/uL,333,Absolute Lymphocyte Count,Blood,Hematology,26474-7
184,51136,%,336,Alpha Antiplasmin,Blood,Hematology,
185,51143,%,343,Atypical Lymphocytes,Blood,Hematology,733-6
186,51144,%,344,Bands,Blood,Hematology,763-3
187,51146,%,346,Basophils,Blood,Hematology,704-7
188,51148,%,348,Blasts,Blood,Hematology,708-8
189,51176,%,376,"CD3 Cells, Percent",Blood,Hematology,8122-4
190,51178,%,378,CD34,Blood,Hematology,8125-7
191,51180,%,380,"CD4 Cells, Percent",Blood,Hematology,8127-3
192,51181,Ratio,381,CD4/CD8 Ratio,Blood,Hematology,8129-9
193,51194,%,394,"CD8 Cells, Percent",Blood,Hematology,8137-2
194,51196,ng/mL,396,D-Dimer,Blood,Hematology,48065-7
195,51199,#/uL,399,Eosinophil Count,Blood,Hematology,26449-9
196,51200,%,400,Eosinophils,Blood,Hematology,711-2
197,51204,%,404,Factor V,Blood,Hematology,3193-0
198,51206,%,406,Factor VIII,Blood,Hematology,3209-4
199,51211,%,411,Factor XIII,Blood,Hematology,3240-9
200,51213,ug/mL,413,Fibrin Degradation Products,Blood,Hematology,30226-5
201,51214,mg/dL,414,"Fibrinogen, Functional",Blood,Hematology,3255-7
202,51218,#/uL,418,Granulocyte Count,Blood,Hematology,30394-1
203,51221,%,421,Hematocrit,Blood,Hematology,4544-3
204,51222,g/dL,422,Hemoglobin,Blood,Hematology,718-7
205,51229,U/mL,429,"Heparin, LMW",Blood,Hematology,32684-3
206,51232,%,432,Hypersegmented Neutrophils,Blood,Hematology,766-6
207,51244,%,444,Lymphocytes,Blood,Hematology,731-0
208,51245,%,445,"Lymphocytes, Percent",Blood,Hematology,26478-8
209,51248,pg,448,MCH,Blood,Hematology,785-6
210,51249,%,449,MCHC,Blood,Hematology,786-4
211,51250,fL,450,MCV,Blood,Hematology,787-2
212,51251,%,451,Metamyelocytes,Blood,Hematology,28541-1
213,51254,%,454,Monocytes,Blood,Hematology,742-7
214,51255,%,455,Myelocytes,Blood,Hematology,26498-6
215,51256,%,456,Neutrophils,Blood,Hematology,761-7
216,51257,%,457,Nucleated Red Cells,Blood,Hematology,772-4
217,51259,%,459,Other Cells,Blood,Hematology,729-4
218,51263,%,463,Plasma Cells,Blood,Hematology,13047-6
219,51265,K/uL,465,Platelet Count,Blood,Hematology,777-3
220,51269,%,469,Promyelocytes,Blood,Hematology,781-5
221,51274,SECONDS,474,PT,Blood,Hematology,5902-2
222,51274,sec,474,PT,Blood,Hematology,5902-2
223,51275,sec,475,PTT,Blood,Hematology,3173-2
224,51276,U/g/Hb,476,Quantitative G6PD,Blood,Hematology,32546-4
225,51277,%,477,RDW,Blood,Hematology,788-0
226,51279,m/uL,479,Red Blood Cells,Blood,Hematology,789-8
227,51283,%,483,"Reticulocyte Count, Automated",Blood,Hematology,17849-1
228,51284,%,484,"Reticulocyte Count, Manual",Blood,Hematology,31112-6
229,51288,mm/hr,488,Sedimentation Rate,Blood,Hematology,4537-7
230,51289, ,489,Serum Viscosity,Blood,Hematology,3128-6
231,51297,sec,497,Thrombin,Blood,Hematology,3243-3
232,51298,%,498,Von Willebrand Factor Activity,Blood,Hematology,6014-5
233,51299,%,499,Von Willebrand Factor Antigen,Blood,Hematology,6012-9
234,51300,K/uL,500,WBC Count,Blood,Hematology,26464-8
235,51301,K/uL,501,White Blood Cells,Blood,Hematology,804-5
236,51302,%,502,Young Cells,Blood,Hematology,51633-6
237,51347,%,547,Eosinophils,Cerebrospinal Fluid (CSF),Hematology,26451-5
238,51351,%,551,Lymphs,Cerebrospinal Fluid (CSF),Hematology,26479-6
239,51352,%,552,Macrophage,Cerebrospinal Fluid (CSF),Hematology,30426-1
240,51355,%,555,Monocytes,Cerebrospinal Fluid (CSF),Hematology,26486-1
241,51358,%,558,Other,Cerebrospinal Fluid (CSF),Hematology,
242,51360,%,560,Polys,Cerebrospinal Fluid (CSF),Hematology,26517-3
243,51362,#/uL,562,"RBC, CSF",Cerebrospinal Fluid (CSF),Hematology,26454-9
244,51363,#/uL,563,"WBC, CSF",Cerebrospinal Fluid (CSF),Hematology,26465-5
245,51369,%,569,"Hematocrit, Joint Fluid",Joint Fluid,Hematology,
246,51375,%,575,Lymphocytes,Joint Fluid,Hematology,26483-8
247,51376,%,576,Macrophage,Joint Fluid,Hematology,33376-5
248,51379,%,579,Monocytes,Joint Fluid,Hematology,17835-0
249,51382,%,582,Polys,Joint Fluid,Hematology,26522-3
250,51383,#/uL,583,"RBC, Joint Fluid",Joint Fluid,Hematology,26458-0
251,51384,#/uL,584,"WBC, Joint Fluid",Joint Fluid,Hematology,26469-7
252,51385,%,585,Atypical Lymphocytes,Other Body Fluid,Hematology,30417-0
253,51419,%,619,Eosinophils,Other Body Fluid,Hematology,26452-3
254,51422,%,622,"Hematocrit, Other Fluid",Other Body Fluid,Hematology,11153-4
255,51427,%,627,Lymphocytes,Other Body Fluid,Hematology,11031-2
256,51428,%,628,Macrophage,Other Body Fluid,Hematology,12230-9
257,51429,%,629,Mesothelial cells,Other Body Fluid,Hematology,28544-5
258,51431,%,631,Monos,Other Body Fluid,Hematology,10330-9
259,51434,%,634,Other Cell,Other Body Fluid,Hematology,
260,51436,%,636,Polys,Other Body Fluid,Hematology,26518-1
261,51438,#/uL,638,"RBC, Other Fluid",Other Body Fluid,Hematology,26455-6
262,51439,#/uL,639,"WBC, Other Fluid",Other Body Fluid,Hematology,26466-3
263,51444,%,644,Eosinophils,Pleural,Hematology,30379-2
264,51446,%,646,Lymphocytes,Pleural,Hematology,26481-2
265,51447,%,647,Macrophages,Pleural,Hematology,40520-9
266,51448,%,648,Mesothelial Cells,Pleural,Hematology,30431-1
267,51450,%,650,Monos,Pleural,Hematology,33362-5
268,51453,%,653,Other,Pleural,Hematology,
269,51455,%,655,Polys,Pleural,Hematology,26519-9
270,51457,#/uL,657,"RBC, Pleural",Pleural,Hematology,26456-4
271,51458,#/uL,658,"WBC, Pleural",Pleural,Hematology,26467-1
272,51464,EU/dL,664,Bilirubin,Urine,Hematology,5770-3
273,51464,mg/dL,664,Bilirubin,Urine,Hematology,5770-3
274,51466,mg/dL,666,Blood,Urine,Hematology,5794-3
275,51476,#/hpf,676,Epithelial Cells,Urine,Hematology,5787-7
276,51478,mg/dL,678,Glucose,Urine,Hematology,5792-7
277,51479,#/lpf,679,Granular Casts,Urine,Hematology,5793-5
278,51482,#/lpf,682,Hyaline Casts,Urine,Hematology,5796-8
279,51484,mg/dL,684,Ketone,Urine,Hematology,5797-6
280,51489,#/hpf,689,NonSquamous Epithelial Cell,Urine,Hematology,41284-1
