sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
80272,STREPTOCOCCUS VESTIBULARIS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330344638,4015550,Streptococcus vestibularis,Observation,MAPS_TO,,<auto>,1738328035407,
90571,BURKHOLDERIA GLADIOLI,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4034928,Burkholderia gladioli,Observation,MAPS_TO,,<auto>,1738328035419,
91004,MYCOBACTERIUM IMMUNOGENUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4178005,Mycobacterium immunogenum,Observation,MAPS_TO,,<auto>,1738328035436,
90353,MYCOBACTERIUM SCROFULACEUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4065369,Mycobacterium scrofulaceum,Observation,MAPS_TO,,<auto>,1738328035555,
80197,CITROBACTER YOUNGAE,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329922076,4017113,Citrobacter youngae,Observation,MAPS_TO,,<auto>,1738328035589,
80060,CANDIDA ALBICANS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329332487,4200556,Candida albicans,Observation,MAPS_TO,,<auto>,1738328035619,
90438,FRANCISELLA TULARENSIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4197546,Francisella tularensis,Observation,MAPS_TO,,<auto>,1738328035797,
90716,CUPRIAVIDUS METALLIDURANS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4307258,Cupriavidus metallidurans,Observation,MAPS_TO,,<auto>,1738328035866,
90888,DIALISTER MICRAEROPHILUS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,40489797,Dialister micraerophilus,Observation,MAPS_TO,,<auto>,1738328035868,
91009,DESULFOVIBRIO FAIRFIELDENSIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,40479681,Desulfovibrio fairfieldensis,Observation,MAPS_TO,,<auto>,1738328035878,
90574,ENTEROVIRUS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4086097,Genus Enterovirus,Observation,MAPS_TO,,<auto>,1738328035950,
80274,NO GROWTH,-1,,0.65,UNCHECKED,UNREVIEWED,,0,4097761,Determination of organism growth,Measurement,MAPS_TO,,<auto>,1738328036070,
90808,MICROMONOSPORA SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4220308,Micromonospora,Observation,MAPS_TO,,<auto>,1738328036098,
91005,EGGERTHELLA LENTA,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4189166,Eggerthella lenta,Observation,MAPS_TO,,<auto>,1738328036099,
80061,RHODOTORULA SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329333698,4198407,Rhodotorula,Observation,MAPS_TO,,<auto>,1738328036154,
90355,STREPTOCOCCUS INTERMEDIUS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4268740,Streptococcus intermedius,Observation,MAPS_TO,,<auto>,1738328036256,
90162,ADDITIONAL CELLS COUNTED,-1,,0.50,UNCHECKED,UNREVIEWED,,0,4038498,Cell count,Measurement,MAPS_TO,,<auto>,1738328036354,
80198,HAEMOPHILUS INFLUENZAE,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329922876,4195939,Haemophilus influenzae,Observation,MAPS_TO,,<auto>,1738328036437,
90717,LACTOBACILLUS GASSERI,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4324548,Lactobacillus gasseri,Observation,MAPS_TO,,<auto>,1738328036437,
90439,CUNNINGHAMELLA SP.,-1,,0.86,UNCHECKED,UNREVIEWED,,0,4094148,Cunninghamella,Observation,MAPS_TO,,<auto>,1738328036481,
91013,CRONOBACTER SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,40480281,Cronobacter,Observation,MAPS_TO,,<auto>,1738328036522,
90579,DIPHYLLOBOTHRIUM SP.,-1,,0.86,UNCHECKED,UNREVIEWED,,0,4167511,Diphyllobothrium,Observation,MAPS_TO,,<auto>,1738328036587,
90889,CUTIBACTERIUM SPECIES,-1,,0.86,UNCHECKED,UNREVIEWED,,0,4213235,Renibacterium,Observation,MAPS_TO,,<auto>,1738328036606,
80275,TRICHOSPORON ASAHII,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330353194,4352756,Trichosporon asahii,Observation,MAPS_TO,,<auto>,1738328036705,
80062,ASPERGILLUS NIGER,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329334879,4231112,Aspergillus niger,Observation,MAPS_TO,,<auto>,1738328036752,
90809,STAPHYLOCOCCUS PSEUDINTERMEDIUS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4142864,Staphylococcus pseudintermedius,Observation,MAPS_TO,,<auto>,1738328036901,
80151,CITROBACTER KOSERI,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329621046,4016448,Citrobacter koseri,Observation,MAPS_TO,,<auto>,1738328036913,
91006,SCEDOSPORIUM (APIOSPERMUM) SPP. COMPLEX,-1,,0.58,UNCHECKED,UNREVIEWED,,0,37109244,Scedosporium apiospermum,Observation,MAPS_TO,,<auto>,1738328036997,
90440,SALMONELLA SCHWARZENGRUND,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4164290,Salmonella Schwarzengrund,Observation,MAPS_TO,,<auto>,1738328037061,
80199,MALASSEZIA FURFUR,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329923964,4106082,Malassezia furfur,Observation,MAPS_TO,,<auto>,1738328037065,
90581,EXOPHIALA SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4047035,Exophiala,Observation,MAPS_TO,,<auto>,1738328037104,
90718,AEROCOCCUS SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4231863,Aerococcus,Observation,MAPS_TO,,<auto>,1738328037121,
91014,FUSARIUM VETERINARIUM,-1,,0.70,UNCHECKED,UNREVIEWED,,0,4148080,Fusarium,Observation,MAPS_TO,,<auto>,1738328037146,
80276,RALSTONIA PICKETTII,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330354297,4015665,Ralstonia pickettii,Observation,MAPS_TO,,<auto>,1738328037251,
80063,ASPERGILLUS SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329336056,4085138,Aspergillus,Observation,MAPS_TO,,<auto>,1738328037281,
90163,"INTERPHASE FISH ANALYSIS, 25-99 CELLS",-1,,0.32,UNCHECKED,UNREVIEWED,,0,4082221,Morphanalysis,Procedure,MAPS_TO,,<auto>,1738328037370,
80152,ESCHERICHIA FERGUSONII,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329621942,4219241,Escherichia fergusonii,Observation,MAPS_TO,,<auto>,1738328037431,
90890,BREVUNDIMONAS DIMINUTA/VESICULARIS,-1,,0.72,UNCHECKED,UNREVIEWED,,0,4034638,Brevundimonas diminuta,Observation,MAPS_TO,,<auto>,1738328037547,
80200,CHAETOMIUM SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329924522,4009137,Chaetomium,Observation,MAPS_TO,,<auto>,1738328037649,
91007,BACILLUS CEREUS GROUP,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4186712,Bacillus cereus group,Observation,MAPS_TO,,<auto>,1738328037649,
